metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2,13,GATv2,0.302253,0.604812,higher,0.302559,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2,42,GATv2,0.277015,0.878584,higher,0.601569,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2,55,GATv2,0.255882,0.697456,higher,0.441575,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2,67,GATv2,0.257720,0.785681,higher,0.527961,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2,78,GATv2,0.240413,0.719987,higher,0.479574,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2+Mask,13,GATv2+Mask,0.533785,0.604812,higher,0.071027,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.500037,0.878584,higher,0.378547,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.538851,0.697456,higher,0.158605,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.506224,0.785681,higher,0.279457,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_macro_f1,Macro F1,primary,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.517732,0.719987,higher,0.202255,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_macro_f1,Macro F1,primary,EOPKG vs LSTM,13,LSTM,0.306747,0.604812,higher,0.298065,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
