metric,paper_model,mean,std,n,aggregation_scope,run_ids
drift_window_ambiguous_prefix_rate,GATv2,0.264,0.000,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_ambiguous_prefix_rate,LSTM,0.264,0.000,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_ambiguous_prefix_rate,EOPKG-WI,0.825,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_ambiguous_prefix_rate,EOPKG,0.825,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_end_ts,GATv2,1750511436.392,0.000,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_end_ts,LSTM,1750511436.392,0.000,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_end_ts,EOPKG-WI,1750511436.392,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_end_ts,EOPKG,1750511436.392,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_macro_f1,GATv2,0.267,0.024,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_macro_f1,LSTM,0.208,0.095,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_macro_f1,EOPKG-WI,0.415,0.034,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_macro_f1,EOPKG,0.737,0.102,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_oos_confidence_mean,GATv2,0.773,0.049,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_oos_confidence_mean,LSTM,0.681,0.093,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_oos_confidence_mean,EOPKG-WI,0.424,0.075,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_oos_confidence_mean,EOPKG,0.135,0.064,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_pred_in_mask_rate,GATv2,0.388,0.051,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_pred_in_mask_rate,LSTM,0.302,0.134,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_pred_in_mask_rate,EOPKG-WI,0.501,0.058,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_pred_in_mask_rate,EOPKG,0.881,0.039,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_start_ts,GATv2,1748467944.749,0.000,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_start_ts,LSTM,1748467944.749,0.000,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_start_ts,EOPKG-WI,1748467944.749,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_start_ts,EOPKG,1748467944.749,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_strict_error_but_allowed_rate,GATv2,0.078,0.028,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_strict_error_but_allowed_rate,LSTM,0.060,0.027,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_strict_error_but_allowed_rate,EOPKG-WI,0.173,0.042,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_strict_error_but_allowed_rate,EOPKG,0.332,0.047,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_strict_macro_f1,GATv2,0.207,0.014,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_strict_macro_f1,LSTM,0.154,0.073,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_strict_macro_f1,EOPKG-WI,0.240,0.018,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_strict_macro_f1,EOPKG,0.449,0.081,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_target_in_mask_rate,GATv2,0.537,0.000,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_target_in_mask_rate,LSTM,0.537,0.000,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_target_in_mask_rate,EOPKG-WI,0.664,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_target_in_mask_rate,EOPKG,0.664,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_test_ece,GATv2,0.458,0.062,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_test_ece,LSTM,0.441,0.048,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_test_ece,EOPKG-WI,0.222,0.032,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_test_ece,EOPKG,0.181,0.034,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_test_oos,GATv2,0.612,0.051,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_test_oos,LSTM,0.698,0.134,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_test_oos,EOPKG-WI,0.499,0.058,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_test_oos,EOPKG,0.119,0.039,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
drift_window_test_set_nll,GATv2,12.695,1.140,5,last,2ab927c10aa14ff6b86c7fca2ad45124;6da86c9f8a8745ddb59c64a7e23ad129;bf6da114c8534a8eb85cf5a9d296cb1c;d1400b7f5cee485485c75935ba0856fe;e03f160a63b34907b648e6b29b051f93
drift_window_test_set_nll,LSTM,11.602,0.774,5,last,27d845ee73b648a3a49992c21b7d59c7;947216b4af334db88539b25462b18624;c0522b44b1764d5086add47291774d05;e35ad47b0b2c402aad5b87be01d9b6c8;f6c4ddc23599407f882f9d237f19c6e0
drift_window_test_set_nll,EOPKG-WI,2.960,0.284,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
drift_window_test_set_nll,EOPKG,2.699,0.970,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_class_score_mean_abs,GATv2,,,0,,
eval_drift_one_pass_candidate_class_score_mean_abs,LSTM,,,0,,
eval_drift_one_pass_candidate_class_score_mean_abs,EOPKG-WI,140012.974,0.036,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_class_score_mean_abs,EOPKG,140018.164,0.429,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_dynamic_count,GATv2,,,0,,
eval_drift_one_pass_candidate_dynamic_count,LSTM,,,0,,
eval_drift_one_pass_candidate_dynamic_count,EOPKG-WI,45.730,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_dynamic_count,EOPKG,45.730,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_invalid_probability_mass,GATv2,,,0,,
eval_drift_one_pass_candidate_invalid_probability_mass,LSTM,,,0,,
eval_drift_one_pass_candidate_invalid_probability_mass,EOPKG-WI,0.276,0.023,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_invalid_probability_mass,EOPKG,0.099,0.017,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_node_score_mean_abs,GATv2,,,0,,
eval_drift_one_pass_candidate_node_score_mean_abs,LSTM,,,0,,
eval_drift_one_pass_candidate_node_score_mean_abs,EOPKG-WI,1.396,0.042,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_node_score_mean_abs,EOPKG,7.475,0.493,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_oos_rate,GATv2,,,0,,
eval_drift_one_pass_candidate_oos_rate,LSTM,,,0,,
eval_drift_one_pass_candidate_oos_rate,EOPKG-WI,0.245,0.030,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_candidate_oos_rate,EOPKG,0.069,0.017,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_candidate_pred_score,GATv2,,,0,,
eval_drift_one_pass_candidate_pred_score,LSTM,,,0,,
