metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
drift_window_ambiguous_prefix_rate,0.264 ± 0.000,0.264 ± 0.000,0.264 ± 0.000,0.825 ± 0.000,0.825 ± 0.000
drift_window_end_ts,1750511436.392 ± 0.000,1750511436.392 ± 0.000,1750511436.392 ± 0.000,1750511436.392 ± 0.000,1750511436.392 ± 0.000
drift_window_macro_f1,0.280 ± 0.032,0.518 ± 0.014,0.218 ± 0.080,0.416 ± 0.036,0.777 ± 0.058
drift_window_oos_confidence_mean,0.808 ± 0.078,0.676 ± 0.149,0.669 ± 0.078,0.467 ± 0.113,0.107 ± 0.035
drift_window_pred_in_mask_rate,0.397 ± 0.045,0.600 ± 0.000,0.310 ± 0.110,0.495 ± 0.059,0.879 ± 0.031
drift_window_start_ts,1748467944.749 ± 0.000,1748467944.749 ± 0.000,1748467944.749 ± 0.000,1748467944.749 ± 0.000,1748467944.749 ± 0.000
drift_window_strict_error_but_allowed_rate,0.079 ± 0.025,0.150 ± 0.018,0.060 ± 0.023,0.165 ± 0.048,0.360 ± 0.046
drift_window_strict_macro_f1,0.213 ± 0.020,0.337 ± 0.013,0.162 ± 0.062,0.246 ± 0.023,0.451 ± 0.055
drift_window_target_in_mask_rate,0.537 ± 0.000,0.537 ± 0.000,0.537 ± 0.000,0.664 ± 0.000,0.664 ± 0.000
drift_window_test_ece,0.467 ± 0.053,0.328 ± 0.066,0.425 ± 0.052,0.233 ± 0.072,0.187 ± 0.044
drift_window_test_oos,0.603 ± 0.045,0.400 ± 0.000,0.690 ± 0.110,0.505 ± 0.059,0.121 ± 0.031
drift_window_test_set_nll,13.047 ± 1.163,10.440 ± 0.432,11.538 ± 0.644,3.020 ± 0.401,2.555 ± 0.804
eval_drift_one_pass_candidate_class_score_mean_abs,,,,140012.982 ± 0.032,140018.268 ± 0.209
eval_drift_one_pass_candidate_dynamic_count,,,,45.730 ± 0.000,45.730 ± 0.000
eval_drift_one_pass_candidate_invalid_probability_mass,,,,0.274 ± 0.023,0.104 ± 0.016
eval_drift_one_pass_candidate_node_score_mean_abs,,,,1.403 ± 0.037,7.591 ± 0.243
eval_drift_one_pass_candidate_oos_rate,,,,0.239 ± 0.029,0.076 ± 0.017
eval_drift_one_pass_candidate_pred_score,,,,7.363 ± 0.209,4.607 ± 0.493
eval_drift_one_pass_candidate_prediction_entropy,,,,0.663 ± 0.077,0.576 ± 0.056
eval_drift_one_pass_candidate_score_gap,,,,136296.244 ± 0.123,136294.634 ± 0.158
eval_drift_one_pass_candidate_seen_score_mean,,,,-0.412 ± 0.098,-7.204 ± 0.236
eval_drift_one_pass_candidate_seen_unseen_score_gap,,,,0.015 ± 0.062,0.322 ± 0.042
eval_drift_one_pass_candidate_target_score,,,,-136288.881 ± 0.191,-136290.027 ± 0.378
eval_drift_one_pass_candidate_temperature,,,,0.100 ± 0.000,0.100 ± 0.000
eval_drift_one_pass_candidate_unseen_candidate_rate,,,,0.139 ± 0.000,0.139 ± 0.000
eval_drift_one_pass_candidate_unseen_score_mean,,,,-0.247 ± 0.089,-4.725 ± 0.164
eval_drift_one_pass_candidate_valid_invalid_logit_margin,,,,2.943 ± 0.297,11.109 ± 0.689
eval_drift_one_pass_candidate_valid_probability_mass,,,,0.726 ± 0.023,0.896 ± 0.016
eval_drift_one_pass_duplicate_candidate_count_max,,,,1.000 ± 0.000,1.000 ± 0.000
eval_drift_one_pass_impulse_activation_max_abs,,,,0.000 ± 0.000,5.684 ± 1.011
eval_drift_one_pass_impulse_activation_mean_abs,,,,0.000 ± 0.000,1.101 ± 0.028
eval_drift_one_pass_impulse_gnn_oversmoothing_ratio,,,,0.000 ± 0.000,0.856 ± 0.024
eval_drift_one_pass_impulse_to_base_node_ratio,,,,0.000 ± 0.000,1.629 ± 0.055
tracing_events_recorded,,,,40.000 ± 0.000,40.000 ± 0.000
tracing_record_time_ms_per_event,,,,1114.048 ± 55.691,1094.769 ± 29.763
tracing_record_time_ms_total,,,,44561.905 ± 2227.646,43790.778 ± 1190.512
