metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
best_epoch,32.429 ± 9.537,3.286 ± 0.951,15.000 ± 2.000,45.286 ± 6.317,19.857 ± 4.337
best_val_loss,0.399 ± 0.008,0.341 ± 0.002,0.348 ± 0.003,0.195 ± 0.005,0.138 ± 0.000
candidate_invalid_probability_mass,,,,0.032 ± 0.003,0.000 ± 0.000
candidate_missing_target_rate,,,,0.000 ± 0.000,0.000 ± 0.000
candidate_oos_rate,,,,0.007 ± 0.008,0.000 ± 0.000
candidate_target_in_candidate_set_rate,,,,1.000 ± 0.000,1.000 ± 0.000
candidate_valid_invalid_logit_margin,,,,5.806 ± 0.158,12.672 ± 0.765
candidate_valid_probability_mass,,,,0.968 ± 0.003,1.000 ± 0.000
early_stopping_epoch,44.000 ± 5.292,23.286 ± 0.951,35.000 ± 2.000,,39.857 ± 4.337
epoch_duration_sec,76.046 ± 19.414,72.081 ± 9.301,150.534 ± 20.140,90.905 ± 6.832,258.752 ± 80.149
fixed_label_strict_test_accuracy,0.891 ± 0.017,0.888 ± 0.020,0.897 ± 0.017,0.914 ± 0.008,0.926 ± 0.001
fixed_label_strict_test_macro_f1,0.729 ± 0.014,0.749 ± 0.015,0.750 ± 0.011,0.736 ± 0.018,0.775 ± 0.004
fixed_label_strict_test_weighted_f1,0.878 ± 0.019,0.882 ± 0.022,0.889 ± 0.014,0.895 ± 0.009,0.916 ± 0.002
fixed_label_test_accuracy,0.981 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.993 ± 0.008,1.000 ± 0.000
fixed_label_test_ece,0.028 ± 0.006,0.032 ± 0.010,0.030 ± 0.007,0.015 ± 0.004,0.011 ± 0.001
fixed_label_test_macro_f1,0.938 ± 0.009,1.000 ± 0.000,1.000 ± 0.000,0.982 ± 0.025,1.000 ± 0.000
fixed_label_test_set_nll,0.230 ± 0.008,0.201 ± 0.006,0.194 ± 0.005,0.200 ± 0.006,0.145 ± 0.001
