"Group","Run ID","metric","step","timestamp","value"
"EOPKGTopologyConditioned","","drift_window_macro_f1","0","1780899562992","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","1","1780899563422","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","3","1780899564281","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","5","1780899564933","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","6","1780899565226","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","8","1780899565808","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","10","1780899566371","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","11","1780899566664","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","13","1780899567358","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","15","1780899568071","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","17","1780899568667","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","18","1780899568933","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","20","1780899569460","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","22","1780899569925","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","23","1780899570283","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","25","1780899570965","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","27","1780899571629","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","29","1780899572218","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","30","1780899572496","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","32","1780899573217","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","34","1780899573842","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","35","1780899574145","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","37","1780899574778","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","39","1780899575412","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","40","1780899575701","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","42","1780899576392","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","44","1780899577152","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","46","1780899577788","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","47","1780899578099","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","49","1780899578745","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","51","1780899579375","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","52","1780899579794","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","54","1780899580592","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","56","1780899581345","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","58","1780899581883","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","59","1780899582127","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","61","1780899582884","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","63","1780899583560","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","64","1780899583856","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","66","1780899584374","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","68","1780899584851","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","69","1780899585132","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","71","1780899585759","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","73","1780899586441","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","75","1780899587159","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","76","1780899587424","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","78","1780899587969","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","80","1780899588512","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","81","1780899588769","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","83","1780899589403","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","85","1780899590092","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","87","1780899590636","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","88","1780899590856","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","90","1780899591345","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","92","1780899591907","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","93","1780899592283","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","95","1780899592960","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","97","1780899593570","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","98","1780899593839","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","100","1780899594368","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","102","1780899594945","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","104","1780899595597","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","105","1780899596033","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","107","1780899596789","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","109","1780899597452","1"
