path,section,current_ui_tab,current_ui_group,current_ui_order,proposed_level,proposed_tab,proposed_group,active_when,required_in_modes,required_when,enum,default,runtime_consumers,description
data.dataset_label,data,input,source,2,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,bpi2012|bpi2012_stage3_4_xes|bpi2012_stage4_2_xes_stat|bpi2020Permit1|camunda_b2bcontracts|camunda_b2bcontracts_stage4_2_stat|camunda_procurement|camunda_procurement_sql|camunda_procurement_stage3_4_sql|camunda_sync_files_file|camunda_sync_files_neo4j|camunda_sync_sql_file|camunda_sync_sql_neo4j|synthetic_drift_4tu|xes_sync_dir_file|xes_sync_dir_neo4j,,src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/simulate_versioned_log.py; tools/visualize_graph.py; tools/visualize_topology.py,Human-readable dataset label for logs and tracking.
data.dataset_name,data,input,source,1,project_setup,Project Setup,Connection / Dataset / Adapter,always,train|eval_drift|eval_cross_dataset|sync-topology|sync-stats|sync-stats-backfill,,B2BContracts_ApproveProject|BPI_Challenge_2012|bpi2012|camunda_sync|procurement|xes_sync,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/cli.py; tools/experiment_ui.py; tools/graph_cache_cleaner.py; tools/ingest_topology.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py; tools/visualize_graph.py,Canonical process/dataset identifier used for structure lookup and run profile.
data.log_path,data,input,source,4,project_setup,Project Setup,Connection / Dataset / Adapter,always,,mapping.adapter=xes,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py; tools/visualize_graph.py; tools/visualize_topology.py,Path to XES file (or XES directory in sync scenarios).
experiment.cache_dir,experiment,general,advanced,220,advanced,Advanced,Rarely Changed,always,,,,.cache/dynamic_graph_builder,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py; tools/graph_cache_cleaner.py,Disk path for persistent structure cache when experiment.cache_policy=full.
experiment.cache_policy,experiment,general,core,14,advanced,Advanced,Rarely Changed,always,,,False|dto|full,full,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py,Caching policy for graph build path (off/dto/full).
experiment.drift_window_size,experiment,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,1000|500,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Window size (in traces) for drift evaluation.
experiment.drift_window_sliding,experiment,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,100|200|50,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Window sliding step for drift evaluation.
experiment.fraction,experiment,general,core,4,experiment_run,Experiment Run,Frequently Changed,always,,,0.1|1|1.0,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/sync_stats.py; tools/visualize_topology.py,Trace fraction after cascade filtering (0..1].
experiment.fraction_strategy,experiment,general,core,5,experiment_run,Experiment Run,Frequently Changed,always,,,temporal|versioned,temporal,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Data fraction strategy. temporal preserves chronological sampling; versioned samples independently per process version.
experiment.graph_dataset_cache_dir,experiment,general,core,16,advanced,Advanced,Rarely Changed,always,,,,.cache/graph_datasets,src/cli.py; tools/experiment_ui.py,Disk path for persistent cache of prepared graph datasets.
experiment.graph_dataset_cache_policy,experiment,general,core,15,advanced,Advanced,Rarely Changed,always,,,off|read|write|full,off,src/cli.py; tools/experiment_ui.py,Policy for disk cache of built graph datasets (off/read/write/full).
experiment.graph_dataset_disk_spill_enabled,experiment,general,core,17,advanced,Advanced,Rarely Changed,always,,,false|true,false,src/cli.py; tools/experiment_ui.py,Enable sharded disk spill for build_graph to keep RAM bounded.
experiment.graph_dataset_shard_size,experiment,general,advanced,225,advanced,Advanced,Conditional Fine Tune,always,,experiment.graph_dataset_disk_spill_enabled=True,,2000,src/cli.py; tools/experiment_ui.py,Target number of graphs per on-disk shard when spill mode is enabled.
experiment.load_checkpoint,experiment,general,advanced,1000,experiment_run,Experiment Run,Checkpoint / Tracking,"experiment.mode=['eval_drift', 'eval_cross_dataset', 'train']",,"experiment.mode=['eval_drift', 'eval_cross_dataset']",checkpoints/MVP1_Baseline_train_05_bpi2012_GATv2_best.pth|checkpoints/MVP1_Baseline_train_bpi2012_GATv2_best.pth|checkpoints/MVP1_train_DataDrift_1_synthetic_drift_4tu_GATv2_best.pth|checkpoints/MVP2_5_Stage3_1_Baseline_Files_camunda_procurement_GATv2_best.pth|checkpoints/MVP2_5_Stage3_1_EOPKG_Files_camunda_procurement_GATv2_best.pth|checkpoints/MVP2_EOPKG_Attention_train_05_bpi2012_GATv2_best.pth,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,"Шлях до checkpoint (.pth), який використовується для оцінки (eval_*) або дрейфу (eval_drift)."
experiment.mask_guided_enabled,experiment,general,advanced,232,experiment_run,Experiment Run,Frequently Changed,always,,,false|true,false,src/application/use_cases/trainer.py; src/cli.py,Convenience toggle mapped to training.mask_guided_enabled.
experiment.max_ram_gb,experiment,general,advanced,226,advanced,Advanced,Rarely Changed,always,,,,0.0,src/cli.py; tools/experiment_ui.py,Soft RSS limit for build_graph spill flushes; 0 disables RAM guard.
experiment.mode,experiment,general,core,1,experiment_run,Experiment Run,Frequently Changed,always,train|eval_drift|eval_cross_dataset|sync-topology|sync-stats|sync-stats-backfill,,train|eval_drift|eval_cross_dataset|sync-topology|sync-stats|sync-stats-backfill,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Pipeline run mode (train/eval/sync commands).
experiment.name,experiment,general,core,3,experiment_run,Experiment Run,Frequently Changed,always,train|eval_drift|eval_cross_dataset,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Concrete run name.
experiment.on_missing_asof_snapshot,experiment,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,disable_stats|use_base|raise,disable_stats,src/application/use_cases/trainer.py; src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py,Runtime policy for strict_asof when no eligible snapshot is found (disable_stats/use_base/raise).
experiment.project,experiment,general,core,2,experiment_run,Experiment Run,Frequently Changed,always,train|eval_drift|eval_cross_dataset,,bpm_prediction_mvp1|bpm_prediction_mvp2|bpm_prediction_mvp2_5,,src/application/services/instance_graph_assembler_service.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/entities/tensor_contract.py; src/domain/models/eopkg_models.py; src/domain/ports/instance_graph_port.py; src/domain/services/dynamic_graph_builder.py; src/domain/services/topology_projection_alignment.py; src/domain/services/torch_serialization.py; src/infrastructure/repositories/in_memory_instance_graph_repository.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; tools/experiment_ui.py,Tracking project/experiment name.
experiment.retrain,experiment,general,advanced,233,experiment_run,Experiment Run,Frequently Changed,always,,,false|true,false,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Convenience toggle mapped to training.retrain.
experiment.split_ratio,experiment,general,core,8,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/ingest_topology.py,"Final [train,val,test] split ratio."
experiment.split_strategy,experiment,general,core,7,experiment_run,Experiment Run,Frequently Changed,always,,,temporal|none|versioned,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/sync_stats.py; tools/visualize_topology.py,Data split strategy. Current canonical value for MVP2.5 is temporal.
experiment.statistic_enabled,experiment,general,advanced,231,experiment_run,Experiment Run,Frequently Changed,always,,,false|true,false,src/cli.py,Convenience toggle mapped to mapping.graph_feature_mapping.enabled.
experiment.stats_time_policy,experiment,general,advanced,1000,advanced,general,advanced,experiment.statistic_enabled=true,,experiment.statistic_enabled=true,,,src/application/use_cases/trainer.py; src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py; tools/sync_stats.py,Політика вибору статистики зі снепшотів: latest або strict_asof.
experiment.structural_mode,experiment,general,advanced,230,experiment_run,Experiment Run,Frequently Changed,always,,,false|true,true,src/application/services/learning_strategy_config.py; src/application/services/structural_trace_payload_builder.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/models/eopkg_models.py,Enable or disable EOPKG structural attention branch while keeping observed branch unchanged.
experiment.train_ratio,experiment,general,core,6,experiment_run,Experiment Run,Frequently Changed,always,,,0|0.01|0.4|0.5|0.7|1.0,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/sync_stats.py; tools/visualize_topology.py,Train-cut ratio in cascade preparation.
experiment.version_scope_policy,experiment,general,core,9,experiment_run,Experiment Run,Frequently Changed,always,,,all|train_cut,all,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Version leakage control for versioned fraction/split. all uses all selected versions; train_cut restricts train to versions known before train_ratio cut and keeps future versions for eval tail.
mapping.adapter,mapping,input,source,3,project_setup,Project Setup,Connection / Dataset / Adapter,always,train|eval_drift|eval_cross_dataset|sync-topology|sync-stats|sync-stats-backfill,,xes|camunda,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/entities/runtime_fetch_diagnostics.py; src/domain/services/schema_resolver.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/tracking/mlflow_trace_recorder.py; src/infrastructure/tracking/mlflow_tracker.py; tools/architecture_guard.py,Data/structure mapping parameter.
mapping.camunda_adapter.lookback_hours,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/stage3_1_runtime_refresh.py; tools/visualize_graph.py; tools/visualize_topology.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.process_filters,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/domain/ports/camunda_bpmn_port.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py,Camunda process/tenant/time filtering parameter.
